lan,lac,year,s,ss,emissions
Barnsley,E08000016,2018,Public Sector,Public Sector Gas,19.61148684
Barnsley,E08000016,2018,Public Sector,Public Sector 'Other Fuels',0.127941174
Barnsley,E08000016,2018,Transport,Road Transport (A roads),149.1527841
Barnsley,E08000016,2018,Transport,Road Transport (Motorways),144.8228981
Barnsley,E08000016,2018,Transport,Road Transport (Minor roads),188.0780987
Barnsley,E08000016,2018,Transport,Diesel Railways,4.760582381
Barnsley,E08000016,2018,Transport,Transport Other,2.28636575
Barnsley,E08000016,2019,Commercial,Commercial Electricity,47.38544229
Barnsley,E08000016,2019,Commercial,Commercial Gas,29.54241517
Barnsley,E08000016,2019,Commercial,Commercial 'Other Fuels',0.622412812
Barnsley,E08000016,2019,Domestic,Domestic Electricity,73.01385507
Barnsley,E08000016,2019,Domestic,Domestic Gas,264.1136487
Barnsley,E08000016,2019,Domestic,Domestic 'Other Fuels',66.50190668
Barnsley,E08000016,2019,Industry,Industry Electricity,60.72017076
Barnsley,E08000016,2019,Industry,Industry Gas,147.7753685
Barnsley,E08000016,2019,Industry,Large Industrial Installations,47.80771804
Barnsley,E08000016,2019,Industry,Industry 'Other Fuels',74.47042731
Barnsley,E08000016,2019,Industry,Agriculture,7.04830565
Barnsley,E08000016,2019,LULUCF,LULUCF Net Emissions: Forest land,-17.22224474
Barnsley,E08000016,2019,LULUCF,LULUCF Net Emissions: Cropland,6.738593945
Barnsley,E08000016,2019,LULUCF,LULUCF Net Emissions: Grassland,-9.785983276
Barnsley,E08000016,2019,LULUCF,LULUCF Net Emissions: Wetlands,-2.094345754
Barnsley,E08000016,2019,LULUCF,LULUCF Net Emissions: Settlements,5.29078338
Barnsley,E08000016,2019,Public Sector,Public Sector Electricity,11.64492473
Barnsley,E08000016,2019,Public Sector,Public Sector Gas,18.92246637
Barnsley,E08000016,2019,Public Sector,Public Sector 'Other Fuels',0.115926947
Barnsley,E08000016,2019,Transport,Road Transport (A roads),144.1005253
Barnsley,E08000016,2019,Transport,Road Transport (Motorways),145.4278037
Barnsley,E08000016,2019,Transport,Road Transport (Minor roads),192.4582165
Barnsley,E08000016,2019,Transport,Diesel Railways,4.616347635
Barnsley,E08000016,2019,Transport,Transport Other,2.344951089
Doncaster,E08000017,2005,Commercial,Commercial Electricity,246.8508034
Doncaster,E08000017,2005,Commercial,Commercial Gas,45.08963327
Doncaster,E08000017,2005,Commercial,Commercial 'Other Fuels',2.398204705
Doncaster,E08000017,2005,Domestic,Domestic Electricity,270.6143596
Doncaster,E08000017,2005,Domestic,Domestic Gas,424.2040346
Doncaster,E08000017,2005,Domestic,Domestic 'Other Fuels',109.860658
Doncaster,E08000017,2005,Industry,Industry Electricity,206.2280031
Doncaster,E08000017,2005,Industry,Industry Gas,155.1221847
Doncaster,E08000017,2005,Industry,Large Industrial Installations,47.98913707
Doncaster,E08000017,2005,Industry,Industry 'Other Fuels',86.84992081
Doncaster,E08000017,2005,Industry,Agriculture,13.07095875
Doncaster,E08000017,2005,LULUCF,LULUCF Net Emissions: Forest land,-21.37540641
Doncaster,E08000017,2005,LULUCF,LULUCF Net Emissions: Cropland,65.49199504
Doncaster,E08000017,2005,LULUCF,LULUCF Net Emissions: Grassland,-13.17438418
Doncaster,E08000017,2005,LULUCF,LULUCF Net Emissions: Wetlands,74.37835803
Doncaster,E08000017,2005,LULUCF,LULUCF Net Emissions: Settlements,13.02541364
Doncaster,E08000017,2005,Public Sector,Public Sector Electricity,73.80765502
Doncaster,E08000017,2005,Public Sector,Public Sector Gas,42.86602116
Doncaster,E08000017,2005,Public Sector,Public Sector 'Other Fuels',1.303565821
Doncaster,E08000017,2005,Transport,Road Transport (A roads),257.8813146
Doncaster,E08000017,2005,Transport,Road Transport (Motorways),440.4904054
Doncaster,E08000017,2005,Transport,Road Transport (Minor roads),225.6414149
Doncaster,E08000017,2005,Transport,Diesel Railways,33.48628045
